[2018-06-07 15:21:40,180] - traintext.py [Line:135] - [INFO]-[thread:139918464362240]-[process:8353] - Class number is : 2.
[2018-06-07 15:21:40,181] - traintext.py [Line:156] - [INFO]-[thread:139918464362240]-[process:8353] - Length of word dictionary is : 532.
[2018-06-07 15:21:41,036] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 0, Batch 0, Cost 0.898044, {'__auc_evaluator_0__': 0.4000000059604645, 'classification_error_evaluator': 0.625}

[2018-06-07 15:21:41,168] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 1, Batch 0, Cost 1.535943, {'__auc_evaluator_0__': 0.5333333611488342, 'classification_error_evaluator': 0.375}

[2018-06-07 15:21:41,289] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 2, Batch 0, Cost 1.032765, {'__auc_evaluator_0__': 0.8666666746139526, 'classification_error_evaluator': 0.375}

[2018-06-07 15:21:41,412] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 3, Batch 0, Cost 0.480023, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.25}

[2018-06-07 15:21:41,549] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 4, Batch 0, Cost 0.549721, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.5}

[2018-06-07 15:21:41,816] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 5, Batch 0, Cost 0.586245, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.5}

[2018-06-07 15:21:41,942] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 6, Batch 0, Cost 0.320611, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.0}

[2018-06-07 15:21:42,062] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 7, Batch 0, Cost 0.141508, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.0}

[2018-06-07 15:21:42,187] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 8, Batch 0, Cost 0.103344, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.0}

[2018-06-07 15:21:42,321] - traintext.py [Line:191] - [INFO]-[thread:139918464362240]-[process:8353] - Pass 9, Batch 0, Cost 0.076952, {'__auc_evaluator_0__': 1.0, 'classification_error_evaluator': 0.0}

[2018-06-07 15:21:42,368] - traintext.py [Line:210] - [INFO]-[thread:139918464362240]-[process:8353] - Training has finished.
[2018-06-07 15:30:06,581] - traintext.py [Line:236] - [INFO]-[thread:139631462668032]-[process:22292] - Begin to predict...
[2018-06-07 15:31:42,746] - traintext.py [Line:236] - [INFO]-[thread:139708238669568]-[process:24964] - Begin to predict...
[2018-06-07 15:36:35,751] - traintext.py [Line:236] - [INFO]-[thread:140468783408896]-[process:516] - Begin to predict...
[2018-06-07 15:41:38,041] - traintext.py [Line:236] - [INFO]-[thread:140424418178816]-[process:9197] - Begin to predict...
[2018-06-07 15:43:05,156] - traintext.py [Line:236] - [INFO]-[thread:140578137114368]-[process:11805] - Begin to predict...
[2018-06-07 15:45:04,870] - traintext.py [Line:236] - [INFO]-[thread:140310834939648]-[process:15440] - Begin to predict...
[2018-06-07 16:02:36,352] - traintext.py [Line:236] - [INFO]-[thread:139914568816384]-[process:12229] - Begin to predict...
[2018-06-07 16:02:59,799] - traintext.py [Line:236] - [INFO]-[thread:140709867378432]-[process:12943] - Begin to predict...
[2018-06-07 16:14:53,705] - traintext.py [Line:236] - [INFO]-[thread:140701883856640]-[process:32402] - Begin to predict...
[2018-06-07 16:27:40,754] - traintext.py [Line:236] - [INFO]-[thread:140370872133376]-[process:21406] - Begin to predict...
[2018-06-07 16:27:57,361] - traintext.py [Line:236] - [INFO]-[thread:139682855868160]-[process:21863] - Begin to predict...
[2018-06-07 16:36:57,487] - traintext.py [Line:236] - [INFO]-[thread:139775012681472]-[process:4166] - Begin to predict...
[2018-06-07 17:24:37,361] - traintext.py [Line:236] - [INFO]-[thread:140184565221120]-[process:17112] - Begin to predict...
[2018-06-07 17:27:27,977] - traintext.py [Line:236] - [INFO]-[thread:139923684718336]-[process:21778] - Begin to predict...
